scenario,search_stage,glucose,ammonium,phosphate,sulfate,oxygen_bound,temperature,pH,mixing,growth,fba_growth,fva_range,log_volume,anisotropy_log,flux_std,biomass_flux_mean,biomass_std,glucose_uptake,oxygen_uptake,ammonium_uptake,phosphate_uptake,sulfate_uptake,ethanol_excr,acetate_excr,formate_excr,d_lactate_excr,l_lactate_excr,succinate_excr,pyruvate_excr,citrate_excr,oxalate_excr,malate_excr,biomass_yield,byproduct_mean,byproduct_total,clean_score,growth_norm,biomass_norm,yield_norm,byproduct_penalty_norm,overall_rank_score
15,explore,12.0,2.0,2.0,1.5,1000.0,29.0,5.8,medium,1.656789161048902,1.656789161048902,368.81595304211623,-42552.32554730588,41.379719847359986,71.20102980738352,0.444125944053821,0.044783101021581236,12.0,1000.0,2.0,2.0,1.5,0.1064221476370669,0.8553902078980213,4.5085787990971165,0.09171733368586416,0.08629512319917376,0.16367752806700017,0.13676529696416945,0.29350445980393164,1.3700779193772479,0.1637333932929952,0.13806576342074184,0.7776162209022587,7.776162209022587,0.1887828781634861,0.46666666666666684,0.4841136508256087,1.0,0.526554061636563,0.32340115780027195
8,explore,12.0,6.0,3.0,2.5,1000.0,29.0,5.7,medium,1.656789161048902,1.656789161048902,368.8184568941964,-42554.12831259318,41.36126820576297,71.24287544781147,0.44521059073313596,0.04458710174515116,12.0,1000.0,6.0,3.0,2.5,0.10407910839823048,0.8536648208417721,4.535147851767849,0.09289577813181672,0.08621403534923465,0.16795531526790639,0.13306772162056366,0.2893255422549838,1.3615398153440135,0.16647667536572772,0.13806576342074184,0.7790366664342099,7.790366664342099,0.18847782172382246,0.46666666666666684,0.4861971411003371,1.0,0.5283396152773246,0.3232970865946875
3,explore,12.0,6.0,3.0,2.5,1000.0,31.0,6.2,high,1.656789161048902,1.656789161048902,368.8184568941964,-42561.890924551706,41.3623564922373,71.23696250290348,0.44377175422996945,0.044484999581000766,12.0,1000.0,6.0,3.0,2.5,0.10200956242200789,0.8641102856215147,4.520374832371151,0.09182333888530553,0.08541106303367198,0.1697312925941454,0.13296542632111316,0.28259616462470766,1.3690109954175427,0.16445045357772314,0.13806576342074184,0.7782483414868883,7.782483414868882,0.18864700139870827,0.46666666666666684,0.483433290052395,1.0,0.5273486610674438,0.3229529578061602
2,explore,10.0,4.0,2.0,2.0,1000.0,30.0,6.0,medium,1.380657634207419,1.380657634207419,370.31653352438775,-42648.530002288404,41.362822293893714,71.20904076703066,0.37471092111934157,0.03754183895256134,10.0,1000.0,4.0,2.0,2.0,0.08763355594536532,0.7001596108570719,4.01409037973464,0.07409038166602737,0.07144067128449254,0.13700778862366927,0.10863892065560767,0.23404305115996302,1.1004940082489258,0.14084670875414115,0.1380657634207419,0.6668445076929904,6.668445076929904,0.18004401418496843,0.33333333333333376,0.35077481527468257,1.0,0.38730983764823607,0.2854685939751216
16,explore,10.0,6.0,4.0,3.0,1000.0,30.0,6.3,high,1.3806576342074186,1.3806576342074186,370.3189988556667,-42670.308247773566,41.374499993629286,71.2732370760554,0.37423222302490033,0.03672858713438611,10.0,1000.0,6.0,4.0,3.0,0.08385691390953712,0.6950800763535948,4.020165265214786,0.07280220083565586,0.0722708650254897,0.13377758630380202,0.11203561071816018,0.2327180640860516,1.1089969554883867,0.13701807655587755,0.13806576342074187,0.6668721614491341,6.668721614491341,0.18003752171658358,0.3333333333333336,0.3498552874290534,1.0,0.38734459946335137,0.28522654537842385
9,explore,10.0,4.0,2.0,2.0,1000.0,30.0,6.0,medium,1.380657634207419,1.380657634207419,370.31653352438775,-42649.14720682279,41.36019601169651,71.27555215254999,0.3756617451628774,0.03818741928901492,10.0,1000.0,4.0,2.0,2.0,0.08569235188979824,0.6942830769813768,4.064474883979467,0.07400304132163225,0.06912312314201614,0.1374978233156664,0.10971748768460315,0.23047735080199724,1.1167325296656847,0.13780245508497377,0.1380657634207419,0.6719804123867216,6.719804123867216,0.17884620024734282,0.33333333333333376,0.3526012465775803,1.0,0.39376586367543637,0.28366559269132585
23,explore,9.0,8.0,4.0,3.0,1000.0,29.0,6.0,high,1.2425918707866768,1.2425918707866768,371.0697128256158,-42728.75613451828,41.35684803925589,71.19728613852058,0.33913209162126595,0.03330081523969928,9.0,1000.0,8.0,4.0,3.0,0.07781820822980133,0.6207315954559841,3.7414198032602166,0.06623018931865356,0.06567557180576744,0.1223508692547141,0.10172330440628852,0.2070321313703224,0.9900968274525893,0.11981142716993409,0.13806576342074187,0.6112889927724272,6.112889927724272,0.17469578236313815,0.2666666666666669,0.28243168874404345,1.0,0.3174744587481064,0.26615852829084036
10,explore,8.0,8.0,1.0,1.0,1000.0,27.0,5.6,medium,1.1045261073659347,1.1045261073659347,371.81715252746005,-42753.43833484493,41.359748723219745,71.250618281252,0.30216431191542614,0.030160287655717093,8.0,1000.0,8.0,1.0,1.0,0.06849019614814733,0.546172588790048,3.406066090153069,0.05758820750482362,0.05801337131346461,0.10838691642246581,0.08563086500262818,0.18828909816092637,0.8691915264312909,0.10895390566880878,0.13806576342074184,0.5496782765595674,5.496782765595674,0.17001124205892446,0.2000000000000001,0.21142053740390016,1.0,0.2400274633024596,0.24884552219511422
18,explore,8.0,3.0,3.0,2.5,1000.0,27.0,5.6,medium,1.1045261073659347,1.1045261073659347,371.816651757044,-42828.545762514055,41.37170049743178,71.22103735547834,0.30291217894267314,0.0305508817712969,8.0,1000.0,3.0,3.0,2.5,0.06847999950556528,0.5539942830883339,3.4183882909150287,0.057995008400453914,0.05619398658074854,0.10889853395792876,0.08496887657108868,0.18806190370840334,0.879383369883989,0.10758326969895353,0.13806576342074184,0.5523947522310494,5.523947522310494,0.16930334028419045,0.2000000000000001,0.21285710998350116,1.0,0.24344217574031907,0.24800951598676368
13,explore,7.0,5.0,3.0,2.5,1000.0,28.0,5.7,low,0.966460343945193,0.966460343945193,372.56736572699316,-42823.13089756143,41.35935831791035,71.22211328456805,0.2663642306774792,0.026395668946606655,7.0,1000.0,5.0,3.0,2.5,0.059993734831715356,0.48068823651575593,3.079834123090393,0.052003219124505895,0.05044746906176568,0.09367913326665381,0.076560073374163,0.1601694889035602,0.7601585977528363,0.09236123053681762,0.13806576342074187,0.4905895306458167,4.9058953064581665,0.16364332481281155,0.13333333333333347,0.1426524099424697,1.0,0.16575067970103727,0.2309836979235878
1,explore,7.0,3.0,2.0,1.5,1000.0,29.0,5.7,medium,0.966460343945193,0.966460343945193,372.56570933254017,-42860.397951517356,41.36926804573286,71.21507828572967,0.2660840036621505,0.026744484286433005,7.0,1000.0,3.0,2.0,1.5,0.05999153797143527,0.4873793007925793,3.1131172108174883,0.05061200472283671,0.05110146412071912,0.09392723330272246,0.07357099087696488,0.15893278103915423,0.7527051111154361,0.09849343878901065,0.13806576342074187,0.4939831073548347,4.939831073548347,0.16270838883770597,0.13333333333333347,0.14211412381456465,1.0,0.170016533696627,0.22935607749315512
20,explore,6.0,2.0,1.0,1.0,1000.0,28.0,5.5,low,0.8283945805244508,0.8283945805244508,373.31434317922304,-42944.59596512226,41.36206562119497,71.2116742503001,0.22921511422716,0.022948798914782763,6.0,1000.0,2.0,1.0,1.0,0.050438227766808154,0.4075364436799541,2.722635371442803,0.04235213453439895,0.042513659207030215,0.08175132646818595,0.06344211668903992,0.13639879460308543,0.6437107871490239,0.07892637368527977,0.1380657634207418,0.426970523522561,4.26970523522561,0.1571994150615874,0.06666666666666662,0.07129293010902166,1.0,0.08577918678885237,0.21446718381782376
11,explore,5.0,8.0,4.0,3.0,1000.0,30.0,6.2,low,0.6903288171037091,0.6903288171037091,374.0683462117134,-43063.992247214424,41.362815102725314,71.24258980734508,0.19210064297700513,0.018567669095155122,5.0,1000.0,8.0,4.0,3.0,0.04065935550145725,0.3325765878868175,2.320765650158405,0.03489632420002009,0.03520573302884881,0.06805208389908679,0.05238379460272721,0.11344466825445462,0.5227753933567122,0.06655414498874263,0.1380657634207418,0.3587313735877272,3.5873137358772724,0.1504865062323215,0.0,0.0,1.0,0.0,0.2
0,explore,5.0,2.0,1.0,1.0,1000.0,28.0,5.5,low,0.6903288171037091,0.6903288171037091,374.06420969154493,-43061.74210225394,41.36226297917078,71.20192857491912,0.19216384688680008,0.01868302193893802,5.0,1000.0,2.0,1.0,1.0,0.04143432724139952,0.3304796083854364,2.3297348974434864,0.03637852653680483,0.03551086976220298,0.06762822523822126,0.05096955092790482,0.11137408348216765,0.5278036758581484,0.06735130463211876,0.1380657634207418,0.3598665069507891,3.598665069507891,0.15011504570772796,0.0,0.000121407951449912,1.0,0.0014269054768901337,0.19953093507095093
